scenario,t_origin,t_target,days_ahead,target_val,forecast_median,p10,p90,reference_peak_predicted,global_relative_bandwidth,local_relative_bandwidth,is_predictable
at_peak,35,51,16,0.005680480710111756,0.005292248,0.0037345288,0.009733741,0.013234522193670273,0.45330024,1.1335848569869995,True
at_peak,35,52,17,0.005122063374787519,0.0046683173,0.003215476,0.008850604,0.013234522193670273,0.4257901,1.207100510597229,True
at_peak,35,53,18,0.004577027802032579,0.0041146763,0.0027773886,0.008056721,0.013234522193670273,0.39890617,1.28304922580719,True
at_peak,35,54,19,0.004106341095444516,0.0035947072,0.00234829,0.0071681845,0.013234522193670273,0.36419103,1.3408308029174805,True
at_peak,35,55,20,0.0036525495099381526,0.0032143518,0.0020206831,0.006604596,0.013234522193670273,0.3463603,1.426076889038086,True
at_peak,35,56,21,0.0032887102357566905,0.003031874,0.0018189026,0.006396476,0.013234522193670273,0.34588128,1.5098164081573486,True
at_peak,35,57,22,0.0029210476008411394,0.0028199279,0.0016076698,0.006095613,0.013234522193670273,0.3391088,1.5915098190307617,True
at_peak,35,58,23,0.002605465339168264,0.0026276985,0.0014234312,0.0058098803,0.013234522193670273,0.33143994,1.6693122386932373,True
at_peak,35,59,24,0.002262396213839532,0.0024334686,0.0012521564,0.005532715,0.013234522193670273,0.32343885,1.7590359449386597,True
at_peak,35,60,25,0.002014549437604303,0.0022411933,0.0010949103,0.005238444,0.013234522193670273,0.31308526,1.8488069772720337,True
at_peak,35,61,26,0.001784837791337504,0.002012326,0.00094582926,0.004898661,0.013234522193670273,0.2986758,1.964309811592102,True
at_peak,35,62,27,0.0015681462383813748,0.0017775412,0.0008085496,0.004534166,0.013234522193670273,0.28150743,2.095937967300415,True
at_peak,35,63,28,0.0013816799020392979,0.0015737191,0.00068836595,0.0041819704,0.013234522193670273,0.26397663,2.2199671268463135,True
at_peak,35,64,29,0.001199553596800777,0.0013897867,0.0005841042,0.0038476172,0.013234522193670273,0.24659093,2.3482115268707275,True
at_peak,35,65,30,0.001054885893348902,0.0012321853,0.00049722043,0.0035462913,0.013234522193670273,0.23038769,2.4745230674743652,True
at_peak,35,66,31,0.0009017964628746503,0.0010784764,0.00041761875,0.0032062451,0.013234522193670273,0.2107085,2.5857090950012207,True
at_peak,35,67,32,0.0007618821268219091,0.0009432412,0.0003504156,0.0028993925,0.013234522193670273,0.1926006,2.702359437942505,True
at_peak,35,68,33,0.0006604597332947553,0.0008207993,0.00029255784,0.0026112709,0.013234522193670273,0.17520188,2.8249452114105225,True
at_peak,35,69,34,0.0005664257260510369,0.00071271835,0.00024284238,0.0023398793,0.013234522193670273,0.15845203,2.942307949066162,True
at_peak,35,70,35,0.0004968302272832955,0.00062379893,0.00020347117,0.0021174785,0.013234522193670273,0.14462233,3.068308115005493,True
at_peak,35,71,36,0.0004410814944173766,0.00053351175,0.00016690778,0.001876539,0.013234522193670273,0.12917967,3.20448637008667,True
at_peak,35,72,37,0.0003887427859899663,0.0004515855,0.00013582119,0.0016497396,0.013234522193670273,0.11439162,3.3524513244628906,True
at_peak,35,73,38,0.0003373857512645507,0.00039558372,0.000114699935,0.0015135198,0.013234522193670273,0.10569478,3.536090612411499,True
at_peak,35,74,39,0.0002831353624700977,0.00035075733,9.835259e-05,0.0014108287,0.013234522193670273,0.09917065,3.741835117340088,True
at_peak,35,75,40,0.0002468651025332348,0.00030424766,8.27818e-05,0.0012895316,0.013234522193670273,0.09118197,3.9663405418395996,True
at_peak,35,76,41,0.000217001555177812,0.00026671827,7.067101e-05,0.0011936659,0.013234522193670273,0.084853455,4.210416316986084,True
at_peak,35,77,42,0.00018093796338873765,0.0002306285,5.9727223e-05,0.0010916482,0.013234522193670273,0.07797191,4.474386215209961,True
at_peak,35,78,43,0.00015944447601874475,0.00019649224,4.9919614e-05,0.0009848292,0.013234522193670273,0.07064173,4.757997512817383,True
at_peak,35,79,44,0.00013614264235560356,0.00016919954,4.2322652e-05,0.00089852454,0.013234522193670273,0.06469458,5.060308456420898,True
at_peak,35,80,45,0.00011656083535265335,0.0001457606,3.6027002e-05,0.00082016125,0.013234522193670273,0.059249155,5.379603862762451,True
at_peak,35,81,46,0.00010013071760347617,0.00012542644,3.0744053e-05,0.00074734946,0.013234522193670273,0.054146677,5.713352203369141,True
at_peak,35,82,47,8.530227799965901e-05,0.00010679201,2.6055688e-05,0.0006730235,0.013234522193670273,0.048884865,6.058204650878906,True
at_peak,35,83,48,7.595054431223423e-05,9.213717e-05,2.2463895e-05,0.0006130674,0.013234522193670273,0.04462598,0.0,True
at_peak,35,84,49,6.32404532232481e-05,7.921641e-05,1.9381137e-05,0.0005552104,0.013234522193670273,0.04048724,0.0,True
at_peak,35,85,50,5.1822038057939436e-05,6.788031e-05,1.6742471e-05,0.00049972435,0.013234522193670273,0.03649409,0.0,True
at_peak,35,86,51,4.433031770061019e-05,5.8142326e-05,1.4529879e-05,0.00044814218,0.013234522193670273,0.032763727,0.0,True
at_peak,35,87,52,4.1230295483784295e-05,5.0266877e-05,1.2796619e-05,0.00040418727,0.013234522193670273,0.029573465,0.0,True
at_peak,35,88,53,3.7665269934434525e-05,4.2342956e-05,1.104364e-05,0.00035381518,0.013234522193670273,0.025899803,0.0,True
at_peak,35,89,54,3.156855957467695e-05,3.6773552e-05,9.8836435e-06,0.00031801272,0.013234522193670273,0.023282222,0.0,True
at_peak,35,90,55,2.74351966189091e-05,3.0922092e-05,8.614121e-06,0.0002755687,0.013234522193670273,0.020171076,0.0,True
at_peak,35,91,56,2.3508501810929648e-05,2.6262298e-05,7.6249717e-06,0.00024011203,0.013234522193670273,0.017566713,0.0,True
at_peak,35,92,57,1.6326783675283005e-05,2.2269523e-05,6.7732026e-06,0.00020792853,0.013234522193670273,0.015199289,0.0,True
at_peak,35,93,58,1.3381762569298414e-05,1.917431e-05,6.136641e-06,0.0001819617,0.013234522193670273,0.013285335,0.0,True
at_peak,35,94,59,1.2348421830356452e-05,1.6385056e-05,5.5387627e-06,0.00015726486,0.013234522193670273,0.011464418,0.0,True
at_peak,35,95,60,1.0798410721943508e-05,1.4249659e-05,5.1024717e-06,0.00013762964,0.013234522193670273,0.010013748,0.0,True
at_peak,35,96,61,7.233385172593737e-06,1.2551557e-05,4.7703675e-06,0.000121358906,0.013234522193670273,0.008809426,0.0,True
at_peak,35,97,62,5.0117025838685175e-06,1.0870174e-05,4.389785e-06,0.00010465962,0.013234522193670273,0.0075763855,0.0,True
at_peak,35,98,63,4.081695918820752e-06,9.448082e-06,4.0550754e-06,9.010341e-05,0.013234522193670273,0.0065018088,0.0,True
at_peak,35,99,64,2.9450211059845936e-06,8.143825e-06,3.7126679e-06,7.652135e-05,0.013234522193670273,0.005501421,0.0,True
post_peak,49,50,1,0.0062492831198623575,0.0050373645,0.0029926614,0.00961288,0.015616895630955696,0.42391384,1.3142225742340088,True
post_peak,49,51,2,0.005680480710111756,0.0044213813,0.0025333425,0.008547831,0.015616895630955696,0.38512704,1.360318899154663,True
post_peak,49,52,3,0.005122063374787519,0.0038472652,0.0021402836,0.007579572,0.015616895630955696,0.34829512,1.413806438446045,True
post_peak,49,53,4,0.004577027802032579,0.0033581513,0.0018142079,0.0067461594,0.015616895630955696,0.31580868,1.4686506986618042,True
